	A2	A1	A8	A9	A3	A5	A11	A10	A7	B4	B1	B5	B6	B7	B2	B3	B8	B9	C2	C3	C4	C1	C7	C8	C9	C5	C6	D2	D3	D4	D5	D1	D9	D10	D8	D7
GT2_Glycos_transf_2	115982	114478	133144	91158	118938	98582	135974	95816	104370	81882	117168	96506	134514	113236	170980	60472	72708	151578	173012	189206	151138	161260	124844	125066	112846	141962	194532	155718	116336	172276	151954	154062	144762	128686	175298	149820
GH2	77026	64370	96740	49844	75866	65512	102038	62934	63206	47422	77872	52834	96832	63350	129022	15342	33410	85722	120130	131490	114332	105180	88198	89518	42572	110154	136482	119790	82150	114290	108076	113468	112440	99702	137370	111824
GT4	57594	49374	73540	34456	55792	45096	75308	45010	50596	36778	54842	43212	83178	58214	94346	18654	31318	82628	91578	99790	83978	87218	65124	69992	40764	77886	108896	94352	64554	102596	91840	83670	82436	72402	95926	84970
GT41	53684	46650	63144	38598	49222	51992	66052	50672	55434	44042	54794	57606	58480	52410	76594	34094	41190	59574	79508	80444	65354	70178	58626	53468	57578	60932	84654	72128	62454	66920	67348	70662	74260	63378	83470	61282
CE1	54544	51440	59122	42684	56054	50440	69900	50062	51940	38220	57972	39486	60596	48588	73916	18884	30258	62128	71204	85410	70298	70810	58190	59044	40710	70602	92394	73564	55162	64248	71864	74104	71110	59966	82560	72028
CE10	48978	47268	54524	36054	47984	43064	59250	43560	45412	34226	52402	45002	54922	38744	66638	19990	28102	47846	67370	73542	61528	60624	51002	52936	47598	60678	74294	69366	46952	54446	65496	62152	67024	54502	70806	61716
GH3	31034	26842	32840	23726	29820	29226	38142	31910	29760	23540	33592	24872	32336	26114	42030	12946	21378	31684	41028	48766	40528	39278	35006	34970	23400	40992	47310	42510	29880	33188	40746	39222	41214	34694	46888	41334
GH97	24770	18876	35844	8056	21062	19242	35842	18308	18264	12554	22902	15104	36612	20892	47276	3208	7954	29746	41620	45914	39940	36784	28982	28604	11700	36384	45532	42210	29480	43748	36616	39334	40478	34782	45436	37052
GH31	25972	24002	29866	16244	22850	21410	31162	23716	23246	19506	26154	21032	30602	24858	41306	14390	18488	30992	37600	42902	34324	33902	28144	27760	16498	34228	45370	35174	25120	41132	31644	35900	34756	30428	41754	32990
GH78	20972	16244	23934	18874	22166	20026	26238	20370	19256	15158	23652	14840	25134	17808	28962	4960	12422	22658	30538	33622	30796	30626	26306	26576	14734	29574	38932	29120	21770	26378	30812	28142	28720	25200	35894	31294
